sold_today,date,prod_id_unique,product_name,expiry_date,product_type,price,weekday,weather,same_prod_type_stock
False,2024-04-01,A_1_20240401,A,2024-04-04,チョコ,150,月,雨,236
False,2024-04-01,A_2_20240401,A,2024-04-04,チョコ,150,月,雨,236
False,2024-04-01,A_3_20240401,A,2024-04-04,チョコ,150,月,雨,236
False,2024-04-01,A_4_20240401,A,2024-04-04,チョコ,150,月,雨,236
False,2024-04-01,A_5_20240401,A,2024-04-04,チョコ,150,月,雨,236
False,2024-04-01,A_6_20240401,A,2024-04-04,チョコ,150,月,雨,236
False,2024-04-01,A_7_20240401,A,2024-04-04,チョコ,150,月,雨,236
False,2024-04-01,A_8_20240401,A,2024-04-04,チョコ,150,月,雨,236
False,2024-04-01,A_9_20240401,A,2024-04-04,チョコ,150,月,雨,236
False,2024-04-01,A_10_20240401,A,2024-04-04,チョコ,150,月,雨,236
False,2024-04-01,A_11_20240401,A,2024-04-04,チョコ,150,月,雨,236
False,2024-04-01,A_12_20240401,A,2024-04-04,チョコ,150,月,雨,236
False,2024-04-01,A_13_20240401,A,2024-04-04,チョコ,150,月,雨,236
False,2024-04-01,B_1_20240401,B,2024-04-03,チョコ,200,月,雨,236
False,2024-04-01,B_2_20240401,B,2024-04-03,チョコ,200,月,雨,236
False,2024-04-01,B_3_20240401,B,2024-04-03,チョコ,200,月,雨,236
False,2024-04-01,B_4_20240401,B,2024-04-03,チョコ,200,月,雨,236
False,2024-04-01,B_5_20240401,B,2024-04-03,チョコ,200,月,雨,236
False,2024-04-01,B_6_20240401,B,2024-04-03,チョコ,200,月,雨,236
False,2024-04-01,C_1_20240401,C,2024-04-03,ピザ,220,月,雨,184
False,2024-04-01,C_2_20240401,C,2024-04-03,ピザ,220,月,雨,184
False,2024-04-01,C_3_20240401,C,2024-04-03,ピザ,220,月,雨,184
False,2024-04-01,C_4_20240401,C,2024-04-03,ピザ,220,月,雨,184
False,2024-04-01,C_5_20240401,C,2024-04-03,ピザ,220,月,雨,184
False,2024-04-01,C_6_20240401,C,2024-04-03,ピザ,220,月,雨,184
False,2024-04-01,C_7_20240401,C,2024-04-03,ピザ,220,月,雨,184
False,2024-04-01,C_8_20240401,C,2024-04-03,ピザ,220,月,雨,184
False,2024-04-01,C_9_20240401,C,2024-04-03,ピザ,220,月,雨,184
